transcript,protein,uniprot,align,identity,evalue,name,lineage,domain,genus
TRINITY_DN1001_c0_g1_i7,TRINITY_DN1001_c0_g1_i7.p1,MLXIP_MOUSE,"Q:1451-1107,H:794-906",38.261,1.63E-16,MLX-interacting protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN1001_c0_g1_i8,TRINITY_DN1001_c0_g1_i8.p1,MLXIP_MOUSE,"Q:1679-1107,H:719-906",36.269,3.15E-27,MLX-interacting protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10010_c0_g1_i1,TRINITY_DN10010_c0_g1_i1.p1,XIAP_MOUSE,"Q:1762-1454,H:3-107",32.381,5.12E-07,E3 ubiquitin-protein ligase XIAP,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10010_c0_g1_i3,TRINITY_DN10010_c0_g1_i3.p1,XIAP_MOUSE,"Q:2110-1802,H:3-107",32.381,8.37E-07,E3 ubiquitin-protein ligase XIAP,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10010_c0_g1_i5,TRINITY_DN10010_c0_g1_i5.p1,XIAP_MOUSE,"Q:1786-1478,H:3-107",32.381,4.79E-07,E3 ubiquitin-protein ligase XIAP,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10010_c0_g1_i6,TRINITY_DN10010_c0_g1_i6.p1,XIAP_MOUSE,"Q:985-677,H:3-107",32.381,2.54E-07,E3 ubiquitin-protein ligase XIAP,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10010_c0_g1_i8,TRINITY_DN10010_c0_g1_i8.p1,XIAP_MOUSE,"Q:1781-1473,H:3-107",32.381,7.11E-07,E3 ubiquitin-protein ligase XIAP,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10011_c0_g1_i5,TRINITY_DN10011_c0_g1_i5.p1,PLC_HALLA,"Q:377-3,H:2-127",48.438,4.72E-32,Perlucin,Eukaryota; Metazoa; Lophotrochozoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis,Eukaryota,Haliotis
TRINITY_DN10011_c0_g1_i6,TRINITY_DN10011_c0_g1_i6.p1,PLC_HALLA,"Q:439-62,H:2-128",48.837,4.45E-33,Perlucin,Eukaryota; Metazoa; Lophotrochozoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis,Eukaryota,Haliotis
TRINITY_DN10011_c0_g1_i8,TRINITY_DN10011_c0_g1_i8.p1,PLC_HALLA,"Q:423-37,H:2-131",46.212,6.72E-32,Perlucin,Eukaryota; Metazoa; Lophotrochozoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis,Eukaryota,Haliotis
TRINITY_DN10011_c1_g1_i5,TRINITY_DN10011_c1_g1_i5.p1,PLC_HALLA,"Q:483-106,H:2-128",51.181,2.16E-41,Perlucin,Eukaryota; Metazoa; Lophotrochozoa; Mollusca; Gastropoda; Vetigastropoda; Lepetellida; Haliotoidea; Haliotidae; Haliotis,Eukaryota,Haliotis
TRINITY_DN10012_c2_g1_i16,TRINITY_DN10012_c2_g1_i16.p1,BRSK2_MOUSE,"Q:3179-2610,H:99-281",25.628,4.53E-08,Serine/threonine-protein kinase BRSK2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10012_c2_g1_i2,TRINITY_DN10012_c2_g1_i2.p1,BRSK2_MOUSE,"Q:3200-2631,H:99-281",25.628,4.56E-08,Serine/threonine-protein kinase BRSK2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10012_c2_g1_i3,TRINITY_DN10012_c2_g1_i3.p1,BRSK2_MOUSE,"Q:3218-2649,H:99-281",25.628,4.58E-08,Serine/threonine-protein kinase BRSK2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN100131_c0_g2_i1,NA,RTJK_DROME,"Q:153-551,H:428-561",33.582,3.92E-29,RNA-directed DNA polymerase from mobile element jockey,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora,Eukaryota,Sophophora
TRINITY_DN100154_c0_g1_i1,NA,SENJU_DROME,"Q:404-144,H:286-376",51.648,3.21E-22,UDP-galactose transporter senju,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora,Eukaryota,Sophophora
TRINITY_DN10016_c4_g1_i1,TRINITY_DN10016_c4_g1_i1.p1,AL4A1_DANRE,"Q:142-1818,H:1-556",55.357,0,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio,Eukaryota,Danio
TRINITY_DN100167_c0_g1_i1,TRINITY_DN100167_c0_g1_i1.p1,APD1_ARATH,"Q:1669-1436,H:362-439",32.051,3.98E-07,E3 ubiquitin-protein ligase APD1,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis,Eukaryota,Arabidopsis
TRINITY_DN10017_c0_g1_i3,TRINITY_DN10017_c0_g1_i3.p1,C1GTB_DANRE,"Q:52-567,H:119-277",35.26,3.13E-18,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-B,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio,Eukaryota,Danio
TRINITY_DN10017_c0_g1_i6,TRINITY_DN10017_c0_g1_i6.p1,C1GLT_MOUSE,"Q:64-402,H:124-224",38.938,3.76E-13,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN100185_c0_g1_i1,TRINITY_DN100185_c0_g1_i1.p2,PSB5_YEAST,"Q:152-448,H:23-127",56.19,1.64E-32,Proteasome subunit beta type-5,Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces,Eukaryota,Saccharomyces
TRINITY_DN100185_c0_g2_i1,NA,PSB5_CHICK,"Q:294-13,H:102-195",79.787,1.57E-50,Proteasome subunit beta type-5,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus,Eukaryota,Gallus
TRINITY_DN100187_c0_g1_i1,TRINITY_DN100187_c0_g1_i1.p1,EHMT1_MOUSE,"Q:358-17,H:786-899",34.211,1.21E-15,Histone-lysine N-methyltransferase EHMT1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10022_c0_g1_i10,TRINITY_DN10022_c0_g1_i10.p1,MEGF6_MOUSE,"Q:9-557,H:1091-1292",34.762,7.04E-28,Multiple epidermal growth factor-like domains protein 6,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10022_c0_g1_i4,TRINITY_DN10022_c0_g1_i4.p1,MEGF6_MOUSE,"Q:573-989,H:1084-1216",41.007,9.21E-23,Multiple epidermal growth factor-like domains protein 6,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10022_c0_g1_i9,NA,MEGF6_MOUSE,"Q:13-258,H:1084-1161",42.683,8.93E-13,Multiple epidermal growth factor-like domains protein 6,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10023_c0_g1_i1,TRINITY_DN10023_c0_g1_i1.p1,S17A5_HUMAN,"Q:1941-511,H:11-486",32.017,9.57E-83,Sialin,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN10023_c0_g1_i3,TRINITY_DN10023_c0_g1_i3.p3,S17A5_HUMAN,"Q:1668-511,H:105-486",34.715,3.12E-77,Sialin,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN100233_c0_g1_i1,TRINITY_DN100233_c0_g1_i1.p1,ISP2_HEMAM,"Q:56-304,H:40-117",35.714,1.11E-09,Type-2 ice-structuring protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Cottioidei; Cottales; Agonidae; Hemitripterinae; Hemitripterus,Eukaryota,Hemitripterus
TRINITY_DN100235_c0_g1_i1,NA,KRA43_HUMAN,"Q:536-207,H:42-153",41.071,4.55E-16,Keratin-associated protein 4-3,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN100254_c2_g1_i1,NA,TC1A_CAEEL,"Q:270-1,H:181-268",38.889,2.25E-16,Transposable element Tc1 transposase,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN100261_c2_g1_i2,NA,F3ST_FLABI,"Q:420-49,H:197-307",30,3.25E-06,Flavonol 3-sulfotransferase,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Asterales; Asteraceae; Asteroideae; Heliantheae alliance; Tageteae; Flaveria,Eukaryota,Flaveria
TRINITY_DN10027_c0_g1_i1,TRINITY_DN10027_c0_g1_i1.p1,VWDE_HUMAN,"Q:423-1964,H:53-606",28.014,8.34E-60,von Willebrand factor D and EGF domain-containing protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN10027_c1_g1_i4,TRINITY_DN10027_c1_g1_i4.p1,EHMT2_HUMAN,"Q:194-18,H:755-813",45.763,6.88E-08,Histone-lysine N-methyltransferase EHMT2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN10027_c1_g1_i5,TRINITY_DN10027_c1_g1_i5.p2,EHMT2_HUMAN,"Q:194-15,H:755-814",45,1.57E-09,Histone-lysine N-methyltransferase EHMT2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN10027_c1_g1_i8,TRINITY_DN10027_c1_g1_i8.p2,EHMT2_HUMAN,"Q:347-15,H:704-814",33.333,7.37E-10,Histone-lysine N-methyltransferase EHMT2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN10027_c4_g1_i3,TRINITY_DN10027_c4_g1_i3.p1,GON4L_RAT,"Q:1048-1320,H:270-357",45.055,3.40E-15,GON-4-like protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN10028_c0_g1_i3,TRINITY_DN10028_c0_g1_i3.p2,BET1L_BOVIN,"Q:28-351,H:1-109",49.541,1.08E-30,BET1-like protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,Eukaryota,Bos
TRINITY_DN10029_c0_g1_i1,TRINITY_DN10029_c0_g1_i1.p1,ASCC2_HUMAN,"Q:1291-20,H:5-428",43.458,1.90E-111,Activating signal cointegrator 1 complex subunit 2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN10030_c0_g1_i2,TRINITY_DN10030_c0_g1_i2.p1,DNSL2_HUMAN,"Q:2537-1749,H:20-296",39.789,2.07E-52,Deoxyribonuclease-1-like 2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN100307_c0_g2_i1,NA,PTPRE_MOUSE,"Q:339-40,H:334-434",42.574,8.55E-18,Receptor-type tyrosine-protein phosphatase epsilon,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN100315_c0_g1_i1,TRINITY_DN100315_c0_g1_i1.p1,NOTC1_XENTR,"Q:861-1,H:460-748",42.759,2.24E-63,Neurogenic locus notch homolog protein 1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana,Eukaryota,Silurana
TRINITY_DN100315_c0_g1_i3,TRINITY_DN100315_c0_g1_i3.p1,NOTC2_HUMAN,"Q:771-1,H:420-678",45.385,1.78E-67,Neurogenic locus notch homolog protein 2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN100315_c0_g1_i5,TRINITY_DN100315_c0_g1_i5.p1,FBP3_STRPU,"Q:540-10,H:178-359",54.396,1.31E-52,Fibropellin-3,Eukaryota; Metazoa; Echinodermata; Eleutherozoa; Echinozoa; Echinoidea; Euechinoidea; Echinacea; Echinoida; Strongylocentrotidae; Strongylocentrotus,Eukaryota,Strongylocentrotus
TRINITY_DN10032_c1_g1_i2,NA,TIGD4_MOUSE,"Q:47-298,H:48-131",40.476,1.54E-17,Tigger transposable element-derived protein 4,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10032_c2_g1_i1,NA,TIGD6_HUMAN,"Q:153-1,H:65-115",43.137,1.65E-06,Tigger transposable element-derived protein 6,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN100321_c0_g1_i2,TRINITY_DN100321_c0_g1_i2.p1,CRY1_CHICK,"Q:1896-430,H:1-490",59.796,0,Cryptochrome-1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus,Eukaryota,Gallus
TRINITY_DN10037_c0_g1_i3,TRINITY_DN10037_c0_g1_i3.p1,VWDE_MOUSE,"Q:3065-2097,H:296-614",24.484,1.12E-15,von Willebrand factor D and EGF domain-containing protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN100373_c0_g1_i3,TRINITY_DN100373_c0_g1_i3.p1,DAAF4_PANPA,"Q:1401-226,H:1-416",52.745,7.05E-122,"Dynein assembly factor 4, axonemal",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pan,Eukaryota,Pan
TRINITY_DN100387_c0_g1_i1,TRINITY_DN100387_c0_g1_i1.p1,S23A1_RAT,"Q:286-1293,H:264-576",38.393,4.73E-59,Solute carrier family 23 member 1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN100387_c0_g1_i4,TRINITY_DN100387_c0_g1_i4.p1,S23A2_XENTR,"Q:505-1356,H:90-365",33.451,6.95E-46,Solute carrier family 23 member 2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana,Eukaryota,Silurana
TRINITY_DN100387_c0_g1_i5,TRINITY_DN100387_c0_g1_i5.p1,S23A1_MOUSE,"Q:505-2250,H:40-585",35.395,9.37E-104,Solute carrier family 23 member 1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
